2024-03-01	00:00	1	15	38	999
2024-03-01	01:00	-5	58	51	1021
2024-03-01	02:00	-1	30	28	1023
2024-03-01	03:00	0	41	14	1017
2024-03-01	04:00	2	73	42	1004
2024-03-01	05:00	2	31	7	1019
2024-03-01	06:00	3	58	20	1026
2024-03-01	07:00	4	33	38	1018
2024-03-01	08:00	6	8	57	1011
2024-03-01	09:00	14	80	18	993
2024-03-01	10:00	12	10	22	1009
2024-03-01	11:00	21	95	10	1021
2024-03-01	12:00	13	9	10	1025
2024-03-01	13:00	19	85	23	993
2024-03-01	14:00	17	16	52	1016
2024-03-01	15:00	21	67	35	1006
2024-03-01	16:00	18	47	39	1001
2024-03-01	17:00	18	51	23	1011
2024-03-01	18:00	15	24	2	1006
2024-03-01	19:00	12	20	21	999
2024-03-01	20:00	8	100	52	990
2024-03-01	21:00	8	64	1	1011
2024-03-01	22:00	2	62	23	1015
2024-03-01	23:00	2	88	43	1007
2024-03-02	00:00	0	50	29	1003
2024-03-02	01:00	0	35	37	1018
2024-03-02	02:00	2	80	1	1001
2024-03-02	03:00	-5	87	59	1025
2024-03-02	04:00	-1	65	20	1024
2024-03-02	05:00	2	14	32	1001
2024-03-02	06:00	1	95	11	996
2024-03-02	07:00	9	38	57	1018
2024-03-02	08:00	11	69	21	1000
2024-03-02	09:00	11	0	43	1022
2024-03-02	10:00	14	22	24	995
2024-03-02	11:00	13	38	48	1004
2024-03-02	12:00	22	56	26	1021
2024-03-02	13:00	26	80	58	1000
2024-03-02	14:00	18	33	41	1012
2024-03-02	15:00	19	40	27	1015
2024-03-02	16:00	15	92	59	1023
2024-03-02	17:00	22	72	15	1023
2024-03-02	18:00	16	12	14	1018
2024-03-02	19:00	10	69	46	993
2024-03-02	20:00	3	5	50	1006
2024-03-02	21:00	1	83	43	1024
2024-03-02	22:00	3	51	54	1002
2024-03-02	23:00	1	2	51	1028
2024-03-03	00:00	-3	80	56	1004
2024-03-03	01:00	1	62	2	1018
2024-03-03	02:00	-1	48	36	1018
2024-03-03	03:00	-2	75	50	1000
2024-03-03	04:00	2	46	6	1021
2024-03-03	05:00	0	54	20	991
2024-03-03	06:00	6	63	8	1003
2024-03-03	07:00	7	64	38	1009
2024-03-03	08:00	16	80	17	1011
2024-03-03	09:00	13	66	3	1000
2024-03-03	10:00	17	89	24	1016
2024-03-03	11:00	14	14	59	992
2024-03-03	12:00	23	99	13	1006
2024-03-03	13:00	19	31	49	1017
2024-03-03	14:00	19	95	57	1018
2024-03-03	15:00	22	67	8	1010
2024-03-03	16:00	18	17	25	1005
2024-03-03	17:00	17	82	52	1026
2024-03-03	18:00	17	42	1	1009
2024-03-03	19:00	10	34	19	995
2024-03-03	20:00	7	77	27	1008
2024-03-03	21:00	3	57	46	994
2024-03-03	22:00	1	32	59	992
2024-03-03	23:00	5	13	6	990
2024-03-04	00:00	2	33	43	1027
2024-03-04	01:00	2	60	7	1004
2024-03-04	02:00	-3	3	46	1023
2024-03-04	03:00	0	87	34	1024
2024-03-04	04:00	0	58	13	1014
2024-03-04	05:00	2	28	16	1013
2024-03-04	06:00	3	82	35	1001
2024-03-04	07:00	8	5	49	1007
2024-03-04	08:00	15	96	39	1004
2024-03-04	09:00	16	48	3	1005
2024-03-04	10:00	16	39	1	1016
2024-03-04	11:00	21	82	5	997
2024-03-04	12:00	20	64	53	1014
2024-03-04	13:00	19	68	41	1006
2024-03-04	14:00	23	26	3	1018
2024-03-04	15:00	19	79	53	997
2024-03-04	16:00	18	5	28	1004
2024-03-04	17:00	12	12	17	1016
2024-03-04	18:00	15	63	25	996
2024-03-04	19:00	17	61	43	992
2024-03-04	20:00	10	98	33	1018
2024-03-04	21:00	10	18	9	1013
2024-03-04	22:00	1	75	35	992
2024-03-04	23:00	2	79	13	1009
2024-03-05	00:00	2	42	30	1004
2024-03-05	01:00	0	73	47	1014
2024-03-05	02:00	0	88	14	1019
2024-03-05	03:00	3	19	7	1003
2024-03-05	04:00	-1	94	13	996
2024-03-05	05:00	1	67	22	1006
2024-03-05	06:00	-1	43	59	1009
2024-03-05	07:00	3	22	56	1025
2024-03-05	08:00	10	1	39	998
2024-03-05	09:00	10	21	20	1027
2024-03-05	10:00	18	56	15	1011
2024-03-05	11:00	23	100	44	991
2024-03-05	12:00	21	71	17	1013
2024-03-05	13:00	18	6	46	997
2024-03-05	14:00	22	77	52	1000
2024-03-05	15:00	18	55	23	1002
2024-03-05	16:00	19	66	25	1006
2024-03-05	17:00	14	15	24	997
2024-03-05	18:00	15	82	59	1010
2024-03-05	19:00	13	50	59	1007
2024-03-05	20:00	5	81	59	1019
2024-03-05	21:00	5	79	44	1007
2024-03-05	22:00	0	71	40	1020
2024-03-05	23:00	3	96	28	1027
2024-03-06	00:00	0	11	14	1021
2024-03-06	01:00	1	52	44	1000
2024-03-06	02:00	0	74	0	1014
2024-03-06	03:00	-3	4	24	1022
2024-03-06	04:00	0	26	6	1027
2024-03-06	05:00	0	11	8	997
2024-03-06	06:00	5	16	23	1000
2024-03-06	07:00	7	5	0	1011
2024-03-06	08:00	12	96	43	1013
2024-03-06	09:00	11	4	7	1006
2024-03-06	10:00	15	56	23	1001
2024-03-06	11:00	15	27	10	1021
2024-03-06	12:00	21	77	50	1004
2024-03-06	13:00	21	68	16	1005
2024-03-06	14:00	21	58	7	1011
2024-03-06	15:00	19	32	34	1017
2024-03-06	16:00	18	61	34	1009
2024-03-06	17:00	17	49	32	1022
2024-03-06	18:00	13	18	58	999
2024-03-06	19:00	14	85	4	1029
2024-03-06	20:00	6	68	41	1021
2024-03-06	21:00	8	65	38	1022
2024-03-06	22:00	1	93	57	991
2024-03-06	23:00	0	46	40	1022
2024-03-07	00:00	-2	38	27	1022
2024-03-07	01:00	1	67	6	1002
2024-03-07	02:00	-2	32	8	1019
2024-03-07	03:00	0	12	7	1022
2024-03-07	04:00	-2	83	11	1002
2024-03-07	05:00	2	53	33	1015
2024-03-07	06:00	5	6	32	1011
2024-03-07	07:00	9	78	47	1028
2024-03-07	08:00	8	86	54	991
